,RegionName,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,Average2022
125,30253.0,302504.0,308366.0,314788.0,320513.0,328686.0,334815.0,339470.0,341275.0,342371.0,341972.0,339374.0,337886.0,329335.0
126,30252.0,356225.0,362675.0,369705.0,375727.0,384490.0,391253.0,396297.0,397646.0,397759.0,396721.0,393553.0,392300.0,384529.25
127,30256.0,232856.0,239812.0,242901.0,246311.0,248155.0,253094.0,257937.0,262869.0,264465.0,266370.0,266980.0,267377.0,254093.91666666666
128,30257.0,227443.0,233732.0,236769.0,240140.0,242433.0,246357.0,250135.0,254322.0,256588.0,259274.0,260539.0,261267.0,247416.58333333334
129,30004.0,651588.0,669213.0,683941.0,701893.0,717369.0,732876.0,742028.0,744315.0,746318.0,746363.0,751335.0,752945.0,720015.3333333334
130,30258.0,216034.0,222620.0,225660.0,229474.0,231164.0,235197.0,239237.0,243489.0,244825.0,246114.0,246514.0,247096.0,235618.66666666666
131,30655.0,290498.0,296725.0,301775.0,307437.0,313642.0,317639.0,318145.0,316498.0,314406.0,312905.0,312838.0,312637.0,309595.4166666667
132,31064.0,205628.0,211969.0,214659.0,217752.0,219632.0,223887.0,227721.0,231413.0,232919.0,234839.0,235707.0,236351.0,224373.08333333334
133,30259.0,339585.0,348116.0,357590.0,365687.0,372069.0,375663.0,379432.0,384444.0,388590.0,390173.0,393130.0,394102.0,374048.4166666667
134,30260.0,204450.0,210662.0,216919.0,221030.0,226282.0,231924.0,235078.0,234992.0,230136.0,227101.0,227708.0,229114.0,224616.33333333334
135,30056.0,283606.0,292399.0,298418.0,303348.0,305072.0,307234.0,308281.0,311366.0,310939.0,310379.0,309909.0,309579.0,304210.8333333333
136,30263.0,277017.0,283715.0,290488.0,296200.0,300897.0,304512.0,308055.0,311540.0,314385.0,314249.0,316061.0,316360.0,302789.9166666667
137,30265.0,344616.0,353128.0,362154.0,369909.0,375903.0,380268.0,384143.0,388378.0,391629.0,391110.0,393083.0,392587.0,377242.3333333333
138,30093.0,291079.0,296228.0,301579.0,309085.0,316471.0,321376.0,321730.0,321592.0,321354.0,321341.0,320930.0,319027.0,313482.6666666667
139,30071.0,313405.0,317813.0,323040.0,331081.0,338981.0,343872.0,343772.0,342860.0,342141.0,342061.0,342533.0,342510.0,335339.0833333333
140,30329.0,549771.0,558194.0,565091.0,568866.0,571660.0,575349.0,576117.0,578128.0,576077.0,575693.0,574725.0,575276.0,570412.25
141,30054.0,305590.0,314726.0,322896.0,329987.0,335556.0,339361.0,341044.0,341877.0,340097.0,336261.0,332422.0,329448.0,330772.0833333333
142,30269.0,464967.0,470588.0,474617.0,481637.0,493051.0,502671.0,510223.0,516312.0,517743.0,518779.0,517755.0,516857.0,498766.6666666667
143,30092.0,529680.0,535373.0,542785.0,554889.0,567047.0,574689.0,574416.0,572228.0,570611.0,571658.0,573503.0,569881.0,561396.6666666666
144,30072.0,265962.0,271790.0,277809.0,281201.0,288691.0,295606.0,300885.0,301503.0,297024.0,294210.0,293746.0,299345.0,288981.0
145,30127.0,337014.0,343904.0,352593.0,359190.0,365441.0,368863.0,371015.0,371825.0,371931.0,371482.0,371551.0,370379.0,362932.3333333333
146,30273.0,231490.0,238206.0,245170.0,250512.0,255618.0,260403.0,262351.0,261622.0,256586.0,253407.0,253759.0,255719.0,252070.25
147,30274.0,189039.0,195721.0,201914.0,205438.0,209337.0,213019.0,215165.0,215127.0,211003.0,208073.0,208109.0,210175.0,206843.33333333334
148,30296.0,228319.0,234828.0,240763.0,244143.0,249195.0,254233.0,257172.0,257369.0,253326.0,250546.0,249774.0,250403.0,247505.91666666666
149,30075.0,603723.0,617530.0,628425.0,640023.0,650126.0,660056.0,665489.0,664643.0,663953.0,661241.0,663229.0,664353.0,648565.9166666666
150,30076.0,503620.0,516469.0,525258.0,536306.0,545273.0,555306.0,560785.0,561082.0,562027.0,560751.0,563152.0,564667.0,546224.6666666666
151,30663.0,332003.0,342027.0,346643.0,351720.0,354292.0,360121.0,366034.0,370278.0,371656.0,373369.0,375180.0,376144.0,359955.5833333333
152,30350.0,726823.0,745913.0,758187.0,771672.0,781476.0,793806.0,801712.0,801795.0,804162.0,802298.0,805687.0,807618.0,783429.0833333334
153,30328.0,667136.0,681123.0,688569.0,698497.0,705640.0,714601.0,718363.0,716309.0,716930.0,715796.0,720295.0,722635.0,705491.1666666666
154,30342.0,878509.0,906856.0,917834.0,932864.0,930213.0,941270.0,943850.0,943527.0,944085.0,940736.0,942894.0,945927.0,930713.75
155,30079.0,272672.0,276877.0,280450.0,282653.0,283975.0,286592.0,289017.0,292664.0,294086.0,296666.0,298376.0,300794.0,287901.8333333333
156,30276.0,387217.0,398862.0,409998.0,418896.0,423293.0,427067.0,431724.0,437179.0,441239.0,441191.0,443365.0,443962.0,425332.75
157,31085.0,217071.0,223036.0,225577.0,228093.0,229813.0,234060.0,237038.0,240772.0,241917.0,244710.0,245671.0,246661.0,234534.91666666666
158,30277.0,363921.0,373960.0,383566.0,391516.0,396393.0,400420.0,403926.0,408565.0,412346.0,412262.0,414707.0,414231.0,397984.4166666667
159,30080.0,459102.0,467892.0,478831.0,486515.0,492703.0,495147.0,496540.0,496806.0,497353.0,498162.0,499296.0,498620.0,488913.9166666667
160,30082.0,426106.0,434183.0,443649.0,450654.0,456472.0,459234.0,461194.0,461665.0,462342.0,463020.0,463966.0,463346.0,453819.25
161,30039.0,326674.0,332182.0,338663.0,347577.0,356191.0,361614.0,362013.0,361253.0,360117.0,359369.0,358999.0,357307.0,351829.9166666667
162,30078.0,344682.0,349717.0,355931.0,364847.0,373278.0,378281.0,378242.0,377175.0,376175.0,376019.0,376353.0,374918.0,368801.5
163,30025.0,309127.0,317091.0,324616.0,331850.0,339012.0,344576.0,346641.0,346713.0,344988.0,343685.0,343249.0,342452.0,336166.6666666667
164,30666.0,315348.0,319203.0,326345.0,332878.0,341826.0,346450.0,349280.0,350385.0,349381.0,347465.0,344842.0,345421.0,339068.6666666667
165,30281.0,275730.0,281336.0,287780.0,292747.0,300140.0,305572.0,310146.0,312212.0,313288.0,313020.0,310509.0,309251.0,300977.5833333333
166,30083.0,244257.0,250480.0,255794.0,259659.0,263874.0,269168.0,273340.0,275813.0,275694.0,275339.0,275273.0,276171.0,266238.5
167,30087.0,333924.0,340274.0,346998.0,353964.0,360545.0,365425.0,367367.0,368418.0,368269.0,368213.0,368069.0,368321.0,359148.9166666667
168,30088.0,225534.0,233314.0,240071.0,244822.0,249411.0,254720.0,258192.0,260214.0,259962.0,259675.0,259314.0,259616.0,250403.75
169,30024.0,534467.0,543624.0,555429.0,571098.0,586425.0,596212.0,597678.0,595827.0,593528.0,593445.0,595727.0,593787.0,579770.5833333334
170,30175.0,275812.0,284069.0,289448.0,293789.0,295811.0,299013.0,302822.0,307469.0,309288.0,314728.0,318919.0,319254.0,300868.5
